0
TPRN
TAGLN
PLA2G2A
C9orf142
ALDH2
IFI44L
SLC39A11
C5orf24
VPS51
TTR
MYPN
MUC5B
COL15A1
RAD18
IRS2
HVCN1
LIN28A
LCP1
BPIFB1
TAGLN3
MARCKS
TP53BP1
PDIA5
TOMM70A
HTT
DYNC2H1
KLRG2
FLNB
SERPINA5
UGDH
TMA7
PFKP
EVPL
CTNNA1
MED17
SPTBN2
AKAP1
BTAF1
MSL1
GCFC2
SLFN11
ACSS3
MAGED2
C2orf72
STXBP1
PCID2
FUS
QRSL1
CAD
PTMS
