Best Model,Best Model Forward Features,Best Model Backward Features,Best Model Score
SVM,"(Index(['P52701', 'Q9UNF1', 'O15042', 'P35221', 'Q9GZT9', 'Q96T51', 'Q96D96',
       'P14555', 'P18206', 'Q53G44', 'Q8TDL5', 'Q96FQ6', 'P05164', 'Q9H9Z2',
       'Q5JVF3', 'P35606', 'Q13439', 'Q92925', 'O75533', 'P35637'],
      dtype='object'),)","Index(['P02786', 'P35221', 'P31948', 'Q01831', 'P49006', 'P18206', 'P17858',
       'Q96FQ6', 'Q8NCM8', 'O75569', 'P55263', 'Q13751', 'O95425', 'Q8WUB8',
       'Q9NVM6', 'Q14676', 'P05091', 'Q15785', 'P82970', 'O75369'],
      dtype='object')",0.44847462
SVM,"(Index(['Q8NFD5', 'P08559', 'Q01813', 'Q8NBX0', 'O95782', 'P80723', 'Q8WUY3',
       'P31483', 'P62258', 'Q08380', 'Q8WUM0', 'Q9NSD9', 'Q92499', 'P05386',
       'Q9H0N5', 'P13591', 'Q92804', 'Q14195', 'Q8NFW8', 'P08727'],
      dtype='object'),)","Index(['Q8NFD5', 'Q7Z5L9', 'P08559', 'Q53G44', 'Q12888', 'Q9H0R6', 'Q08357',
       'Q08211', 'Q9NW13', 'P62258', 'P49257', 'Q08380', 'Q8WUM0', 'Q9H4A6',
       'P28838', 'P13591', 'Q8NB49', 'P11388', 'Q06323', 'A7MBM2'],
      dtype='object')",0.504737576
SVM,"(Index(['P37108', 'P36578', 'Q6SPF0', 'P52701', 'Q9BQE4', 'Q9H3U1', 'P14555',
       'Q8TDL5', 'P80723', 'Q9NW82', 'Q13751', 'Q9P260', 'Q9UHV9', 'Q92925',
       'O75175', 'Q9NSD9', 'P46926', 'P39059', 'Q5T653', 'P35637'],
      dtype='object'),)","Index(['Q96L91', 'P52701', 'Q9UNF1', 'Q01780', 'Q8N4T8', 'Q15149', 'Q9NX63',
       'P20810', 'Q9NVA2', 'P18206', 'Q86TC9', 'Q8NCM8', 'Q9NU22', 'Q12929',
       'Q9H9Z2', 'Q08379', 'P31483', 'Q92925', 'P46926', 'P04049'],
      dtype='object')",0.569109067
SVM,"(Index(['Q14498', 'Q8N1S5', 'P13796', 'Q53G44', 'Q86VP6', 'P35240', 'P11586',
       'O43272', 'Q9H6R3', 'Q9NS91', 'Q86XP3', 'O75175', 'Q9Y315', 'Q9Y2S6',
       'Q9UQ80', 'O14744', 'Q02318', 'Q9HC35', 'Q16555', 'P15428'],
      dtype='object'),)","Index(['A6NIH7', 'P52701', 'O15269', 'P13796', 'Q6P1J9', 'Q9Y277', 'P80723',
       'Q9NS91', 'Q14978', 'Q4KMQ1', 'P50416', 'O60231', 'Q9UHI6', 'Q9H4A6',
       'Q9BQ69', 'Q8WZA9', 'Q9NQG6', 'Q969Q5', 'Q8IVF2', 'Q68EM7'],
      dtype='object')",0.552836516
SVM,"(Index(['Q9Y4H2', 'P59768', 'O15357', 'Q01780', 'P98172', 'Q9NVC6', 'Q9BUH6',
       'P02766', 'P15923', 'O75569', 'Q01995', 'Q13751', 'P49458', 'Q08380',
       'Q86XP3', 'Q9Y315', 'O60231', 'Q9UHI6', 'P22234', 'O00339'],
      dtype='object'),)","Index(['Q8N4T8', 'Q9GZT9', 'O14497', 'Q8NFD5', 'P58107', 'P98172', 'P20810',
       'Q9BUH6', 'Q01813', 'Q14554', 'Q01995', 'Q13439', 'Q86XP3', 'Q9Y315',
       'Q8IUD2', 'P10586', 'P13591', 'P22234', 'Q96SY0', 'Q68EM7'],
      dtype='object')",0.376767207
SVM,"(Index(['Q01780', 'Q96T51', 'Q8NFD5', 'P14555', 'Q5SQI0', 'P02766', 'P27482',
       'Q9H9Z2', 'Q13356', 'Q9GZU2', 'Q9UI15', 'Q13439', 'P10636', 'Q0VDF9',
       'Q9C0H9', 'Q9Y2S6', 'Q8N5M9', 'O43795', 'Q9NQG6', 'P24941'],
      dtype='object'),)","Index(['Q9BQE4', 'O15357', 'Q8N4T8', 'Q5VSL9', 'O14981', 'Q99733', 'Q8N1S5',
       'P09327', 'P17858', 'Q8IVT2', 'P16383', 'P27482', 'Q9Y2A7', 'Q13356',
       'Q5JVF3', 'Q9UI15', 'P22102', 'P46926', 'Q8NB49', 'O14744'],
      dtype='object')",0.462364601
XGBoost,"(Index(['A1X283', 'P59768', 'Q9UNF1', 'O14497', 'Q53H12', 'Q96ST3', 'Q7Z6I8',
       'Q92817', 'Q9H9Z2', 'Q8WUY3', 'A4D1S0', 'Q8TE68', 'Q5T653', 'O43795',
       'Q92804', 'O14744', 'Q02318', 'Q8TEW0', 'Q02790', 'Q69YQ0'],
      dtype='object'),)","Index(['A1X283', 'P59768', 'Q9UNF1', 'Q01780', 'P07954', 'O14497', 'Q8IYS1',
       'Q15042', 'Q96D96', 'Q99733', 'Q9NVC6', 'Q86VP6', 'Q96ST3', 'Q7Z6I8',
       'Q13123', 'Q8TE68', 'Q8WZA9', 'O14744', 'O00339', 'Q69YQ0'],
      dtype='object')",0.502861817
XGBoost,"(Index(['Q9NQP4', 'O95801', 'Q9UNS1', 'P14555', 'Q99575', 'Q8NCN4', 'Q96FQ6',
       'Q9H0R6', 'P49458', 'Q86Y79', 'Q9BUK6', 'Q9GZS1', 'Q9NSD9', 'Q9HC84',
       'P56182', 'P30566', 'P82970', 'Q9BZE9', 'Q9H0N5', 'O43795'],
      dtype='object'),)","Index(['Q96JP5', 'O15357', 'O15042', 'Q9GZT9', 'Q8WVQ1', 'O14497', 'P20810',
       'O95801', 'P14555', 'P17858', 'Q99575', 'Q8NCN4', 'Q86TC9', 'Q8NBX0',
       'Q96FQ6', 'P30038', 'Q92817', 'P49458', 'P50416', 'Q99459'],
      dtype='object')",0.594882325
XGBoost,"(Index(['Q96L58', 'P35221', 'Q53G44', 'P35251', 'Q9H9Z2', 'Q13356', 'P35232',
       'Q9UI15', 'P49257', 'Q9UID3', 'Q92925', 'P46379', 'P46926', 'Q14974',
       'P98160', 'O14744', 'Q02318', 'Q8TEW0', 'P08727', 'Q9BRX8'],
      dtype='object'),)","Index(['O15357', 'Q9BUP0', 'Q9GZT9', 'P20810', 'Q8N1S5', 'Q53G44', 'P51452',
       'Q86TC9', 'O95785', 'O43395', 'P30038', 'Q7Z6I8', 'P35251', 'P80723',
       'Q9NW82', 'Q9NS91', 'Q14676', 'Q13439', 'P49257', 'Q969H8'],
      dtype='object')",0.675041715
SVM,"(Index(['Q6SPF0', 'Q9BTD8', 'Q9H3U1', 'P20810', 'P08559', 'Q9NVC6', 'P42858',
       'Q9UBQ7', 'Q9Y277', 'Q14554', 'Q01995', 'O15020', 'Q14676', 'Q5JTZ9',
       'Q9UKD2', 'Q9UQ80', 'P35637', 'Q14643', 'P54920', 'Q68EM7'],
      dtype='object'),)","Index(['Q6SPF0', 'Q9BTD8', 'Q9H3U1', 'Q8NFD5', 'P20810', 'Q96D96', 'P08559',
       'Q9NVC6', 'Q14554', 'O15020', 'Q14676', 'Q9P032', 'Q5JTZ9', 'Q9UKD2',
       'O75175', 'Q0VDF9', 'Q9UQ80', 'P35637', 'Q14643', 'Q68EM7'],
      dtype='object')",0.348535897
SVM,"(Index(['Q9BTD8', 'Q68DK7', 'Q99733', 'Q12955', 'P17858', 'Q9Y2A7', 'Q9H9Z2',
       'O43272', 'P31483', 'P46379', 'P56182', 'Q8N5M9', 'Q2TAY7', 'O43432',
       'Q15075', 'Q8TEW0', 'P22234', 'Q14643', 'Q9HA77', 'A7MBM2'],
      dtype='object'),)","Index(['Q9P258', 'Q8WWH5', 'P07954', 'Q16643', 'P17858', 'O95782', 'Q9NW13',
       'O43272', 'Q7Z4V5', 'Q9NVZ3', 'Q92667', 'Q86UP2', 'P22102', 'Q9HC84',
       'Q8N5M9', 'P10586', 'Q2TAY7', 'Q92804', 'Q15075', 'P42285'],
      dtype='object')",0.527503517
XGBoost,"(Index(['Q6SPF0', 'P59768', 'Q96T51', 'Q15042', 'Q01813', 'O43395', 'Q14978',
       'Q9GZS1', 'P10636', 'Q86XP3', 'O75175', 'Q9HC84', 'O75369', 'P04049',
       'Q9Y2W6', 'O43432', 'Q01664', 'O60645', 'Q14195', 'A7MBM2'],
      dtype='object'),)","Index(['Q6SPF0', 'P59768', 'Q8N4T8', 'P58107', 'Q15042', 'O14981', 'P09327',
       'Q9H7E9', 'Q9UNF0', 'Q12888', 'P80723', 'P49458', 'Q86Y79', 'O60524',
       'Q9GZS1', 'Q9UI15', 'Q5JTZ9', 'Q86XP3', 'Q9Y2S6', 'O75369'],
      dtype='object')",0.416846079
SVM,"(Index(['O76031', 'A1X283', 'O15269', 'Q99569', 'P08559', 'Q8N1S5', 'Q9NVC6',
       'P49006', 'P13995', 'Q6P1J9', 'P53814', 'Q12888', 'Q1KMD3', 'Q9P260',
       'P35606', 'Q9UKD2', 'P26006', 'P27694', 'Q5T653', 'Q9Y230'],
      dtype='object'),)","Index(['A1X283', 'Q6P2E9', 'Q8TAE8', 'P08559', 'Q9NVC6', 'P49006', 'O43837',
       'P13995', 'O95336', 'Q12888', 'Q13573', 'Q5JVF3', 'Q10471', 'Q9NVZ3',
       'P62258', 'Q9UBI1', 'Q9UKD2', 'Q9NSD9', 'P13591', 'Q8N556'],
      dtype='object')",0.525994448
XGBoost,"(Index(['Q9P258', 'P02786', 'P58107', 'Q01831', 'Q1ED39', 'P46821', 'P55263',
       'Q08211', 'Q92817', 'Q9NVM6', 'P78318', 'Q9P032', 'Q9UID3', 'P26006',
       'Q9Y4K1', 'O60231', 'Q9HC84', 'Q9BW92', 'P20618', 'Q969Q5'],
      dtype='object'),)","Index(['A6NIH7', 'A1X283', 'P59768', 'Q6P2E9', 'P07954', 'Q9Y490', 'Q15149',
       'Q96T51', 'P98172', 'P08559', 'Q99733', 'P42858', 'Q9BUH6', 'P06753',
       'P51452', 'O15382', 'P33176', 'Q7Z4V5', 'Q9BW92', 'P20618'],
      dtype='object')",0.667689398
SVM,"(Index(['Q9Y4H2', 'Q15149', 'P20810', 'Q6XQN6', 'Q8TDL5', 'P30038', 'Q1ED39',
       'P31327', 'Q9GZU2', 'O00273', 'Q5JTZ9', 'Q9C0H9', 'Q01664', 'Q7Z3J2',
       'Q9HC35', 'Q14195', 'Q68EM7', 'Q12788', 'P52815', 'Q9NRV9'],
      dtype='object'),)","Index(['Q9Y4H2', 'Q9BQE4', 'P59768', 'P30260', 'Q13423', 'P31327', 'Q01995',
       'O95425', 'Q86XP3', 'Q9C0H9', 'O75369', 'Q8N5M9', 'P33316', 'P04049',
       'P61764', 'Q92804', 'P22234', 'Q9HC35', 'Q32P44', 'O15061'],
      dtype='object')",0.474132039
SVM,"(Index(['O76031', 'Q68DK7', 'P59768', 'P35221', 'O15269', 'Q96D96', 'Q53G44',
       'P15923', 'O43395', 'P12270', 'Q92817', 'Q9H6R3', 'Q9GZU2', 'Q9UI15',
       'P19623', 'Q9UHI6', 'Q14643', 'P15428', 'P42684', 'Q92932'],
      dtype='object'),)","Index(['A6NIH7', 'P52701', 'P59768', 'O60716', 'Q9NVC6', 'O43837', 'P53814',
       'Q13573', 'O60701', 'Q7Z6I8', 'Q8WUY3', 'O15020', 'P35606', 'P19623',
       'Q99543', 'Q5T653', 'Q8IVF2', 'P12081', 'P42684', 'Q92932'],
      dtype='object')",0.652833447
SVM,"(Index(['Q8N4T8', 'P53618', 'P02766', 'Q9H0R6', 'Q08211', 'Q9Y2A7', 'Q9H9Z2',
       'P11586', 'O43272', 'Q5JVF3', 'P78318', 'P27708', 'Q96CT7', 'O75175',
       'O60231', 'Q9HC84', 'P39059', 'P82970', 'Q15833', 'P61764'],
      dtype='object'),)","Index(['P30260', 'P07954', 'Q96L58', 'Q8N4T8', 'O14497', 'P13995', 'Q8NBX0',
       'Q8NCM8', 'O60701', 'Q08211', 'Q8WUB8', 'Q9NW13', 'P27708', 'P49257',
       'Q96CT7', 'P46926', 'Q14761', 'P30566', 'Q15833', 'Q96PK6'],
      dtype='object')",0.595160331
SVM,"(Index(['Q96NB2', 'Q7Z7L1', 'Q01813', 'P53814', 'Q8IVT2', 'P35240', 'Q9H9Z2',
       'Q1KMD3', 'Q14676', 'Q9BY42', 'Q4KMQ1', 'P10636', 'Q9NSD9', 'Q0VDF9',
       'Q9HC84', 'Q8IUD2', 'P33316', 'Q5JWF2', 'Q9NQG6', 'Q8IVF2'],
      dtype='object'),)","Index(['Q8WUQ7', 'Q68DK7', 'Q9UNF1', 'Q96NB2', 'P53618', 'Q9UNS1', 'Q7Z7L1',
       'Q01813', 'O95785', 'Q9UHV9', 'Q9NR33', 'Q9UBI1', 'Q92925', 'O75175',
       'Q0VDF9', 'P10586', 'P05386', 'Q01664', 'Q32P44', 'Q8IVF2'],
      dtype='object')",0.481897081
XGBoost,"(Index(['A6NIH7', 'Q96T51', 'O60716', 'Q9H477', 'Q12888', 'P35251', 'P29966',
       'Q8WUB8', 'Q4KMQ1', 'Q969H8', 'Q08380', 'P46379', 'Q9Y2S6', 'Q9Y230',
       'Q15833', 'Q92804', 'Q9HC35', 'Q9H115', 'P15428', 'Q53EL6'],
      dtype='object'),)","Index(['P52701', 'Q96D53', 'Q8N4T8', 'Q5VSL9', 'Q8IYS1', 'Q9H477', 'O95801',
       'Q7Z5L9', 'Q12955', 'Q5SQI0', 'O00468', 'Q9BUH6', 'O43395', 'Q96ST3',
       'Q12888', 'P16383', 'P80723', 'P29966', 'Q9NW13', 'Q4KMQ1'],
      dtype='object')",0.482174376
SVM,"(Index(['P02786', 'Q96L58', 'Q8TAE8', 'Q15042', 'P20810', 'Q16643', 'P53618',
       'Q9NVC6', 'P18206', 'Q8IVT2', 'Q5JVF3', 'P31483', 'Q13439', 'Q99459',
       'P39059', 'Q9BQ69', 'P27694', 'P13591', 'Q9Y2W6', 'P52815'],
      dtype='object'),)","Index(['Q9NQP4', 'Q8N4T8', 'P58107', 'O60716', 'P20810', 'P53618', 'Q8NBX0',
       'P16383', 'O75569', 'Q5JVF3', 'Q14676', 'Q9UID3', 'P20618', 'Q96SB3',
       'Q8WZA9', 'Q15833', 'P61764', 'P42285', 'Q69YQ0', 'Q86UK7'],
      dtype='object')",0.538026454
SVM,"(Index(['Q8WUQ7', 'O15357', 'Q01780', 'Q9H477', 'Q96D96', 'O95801', 'Q9UNS1',
       'P14555', 'Q01813', 'Q8NCM8', 'P80723', 'Q08211', 'P06454', 'Q9H6R3',
       'P53985', 'P26006', 'A4D1S0', 'O60231', 'P22102', 'P56182'],
      dtype='object'),)","Index(['Q8WUQ7', 'P30260', 'Q9BR61', 'O15269', 'P20810', 'P06753', 'Q9UNF0',
       'P16383', 'Q14554', 'P06454', 'Q52LJ0', 'Q9NVM6', 'Q9UHV9', 'Q9H6R3',
       'P31483', 'Q86XP3', 'P26006', 'O60231', 'O75369', 'Q8N5M9'],
      dtype='object')",0.53608077
SVM,"(Index(['Q96L58', 'Q9GZT9', 'Q9H477', 'P13796', 'Q53G44', 'P78362', 'P67809',
       'Q92817', 'P31483', 'Q969H8', 'Q9UID3', 'Q9HC84', 'Q8N1G4', 'P39059',
       'P20618', 'Q96PK6', 'O00339', 'P42285', 'Q9H115', 'O15061'],
      dtype='object'),)","Index(['P59768', 'Q9UNF1', 'O94826', 'Q96C19', 'O60701', 'Q9UI15', 'P31483',
       'Q13439', 'Q86XP3', 'P20618', 'P82970', 'Q02318', 'P61970', 'O00339',
       'Q06323', 'Q68EM7', 'P15428', 'P34897', 'O15061', 'O95319'],
      dtype='object')",0.666539733
SVM,"(Index(['Q96L91', 'Q9UNF1', 'Q8NFD5', 'Q96NB2', 'Q16643', 'P17858', 'Q53H12',
       'Q53G44', 'Q08357', 'Q9Y2A7', 'Q01995', 'P11586', 'Q9HCS7', 'O15020',
       'P31483', 'Q13439', 'Q9Y2S6', 'Q5JSZ5', 'P04049', 'Q92804'],
      dtype='object'),)","Index(['Q8TCS8', 'Q96L91', 'Q8NFD5', 'O15269', 'Q14498', 'Q9BUH6', 'P13796',
       'Q53G44', 'Q9H0R6', 'P46821', 'Q7Z460', 'O95425', 'Q9HCS7', 'O15020',
       'Q14978', 'Q13439', 'Q9BZE9', 'Q5T653', 'Q9H0N5', 'Q15833'],
      dtype='object')",0.593497955
SVM,"(Index(['P36578', 'Q96L91', 'O60716', 'Q15042', 'Q9NVA2', 'Q99575', 'Q6P1J9',
       'Q13573', 'P35251', 'P12270', 'P06454', 'Q9NW82', 'Q9UHB6', 'Q9NW13',
       'Q9UI15', 'Q96CT7', 'P19623', 'Q86UP2', 'P04114', 'Q8IVF2'],
      dtype='object'),)","Index(['Q9BTD8', 'Q8WVQ1', 'Q96T51', 'Q9BR61', 'Q9UNS1', 'Q14980', 'Q7Z3D6',
       'Q96ST3', 'Q08357', 'Q14554', 'Q8WUB8', 'Q9H6R3', 'Q9UQ35', 'P10636',
       'Q96CT7', 'O60231', 'Q9H4A6', 'Q9BW92', 'Q5T653', 'Q6YN16'],
      dtype='object')",0.618702309
SVM,"(Index(['Q8IYS1', 'O60716', 'Q96D96', 'P14555', 'Q9BUH6', 'O95785', 'Q1KMD3',
       'Q9UHB6', 'Q8WUY3', 'Q5JVF3', 'P78318', 'Q9H6R3', 'Q9GZU2', 'A4D1S0',
       'Q9C0H9', 'P39059', 'Q15785', 'Q96SB3', 'Q01664', 'Q9Y240'],
      dtype='object'),)","Index(['Q8N4T8', 'P31350', 'Q9P1Y5', 'Q5SQI0', 'O00468', 'P13995', 'P17858',
       'O95785', 'Q13751', 'Q9UHB6', 'Q969H8', 'P19623', 'Q9Y4K1', 'P28838',
       'Q99459', 'P39059', 'Q15785', 'P35637', 'Q68EM7', 'P52815'],
      dtype='object')",0.52182785
SVM,"(Index(['O14497', 'Q9BR61', 'Q8IYS1', 'Q9NX63', 'P20810', 'Q99733', 'P14555',
       'Q7KZF4', 'Q5SQI0', 'P19404', 'Q7Z7L1', 'P16383', 'P31327', 'Q1KMD3',
       'P78318', 'O60524', 'Q99543', 'Q9C0H9', 'Q9BW92', 'P20618'],
      dtype='object'),)","Index(['Q8IYS1', 'Q9NVA2', 'Q99733', 'Q53H12', 'Q9H0R6', 'Q7Z6I8', 'Q6PK04',
       'P16383', 'Q08379', 'Q14676', 'Q9BY42', 'Q10471', 'Q969H8', 'P09758',
       'P20618', 'Q5T653', 'P10586', 'Q9H0N5', 'Q8N556', 'O43432'],
      dtype='object')",0.672784524
SVM,"(Index(['Q8NFD5', 'Q15063', 'Q9UNS1', 'Q8N1S5', 'P09327', 'P02766', 'Q86TC9',
       'P15923', 'Q92817', 'Q9H9Z2', 'O43272', 'Q8WUY3', 'Q6UWE0', 'P39059',
       'Q8IUD2', 'Q9BW92', 'P04114', 'Q14643', 'Q6PUV4', 'Q86V59'],
      dtype='object'),)","Index(['P07954', 'Q9H3U1', 'Q15149', 'Q5VSL9', 'Q8NFD5', 'Q7Z7L1', 'P53814',
       'Q08357', 'P35240', 'Q12929', 'Q9H9Z2', 'Q8WUB8', 'Q9NW13', 'P28838',
       'Q9H0N5', 'Q92804', 'Q9Y2W6', 'Q8TEW0', 'Q06323', 'Q86V59'],
      dtype='object')",0.491401731
XGBoost,"(Index(['Q6SPF0', 'P02786', 'P35221', 'Q5VSL9', 'O15269', 'O00468', 'Q8IVT2',
       'P98196', 'P29966', 'O43272', 'Q9NR33', 'Q14978', 'Q9NVZ3', 'P31483',
       'Q92925', 'P46379', 'Q8IUD2', 'Q8WZA9', 'Q8TEW0', 'P22234'],
      dtype='object'),)","Index(['Q6SPF0', 'Q5VSL9', 'O15269', 'Q13423', 'Q15042', 'P26641', 'P31350',
       'O14981', 'P19404', 'Q9BUH6', 'Q86VP6', 'P30038', 'O43823', 'P98196',
       'P55263', 'P49458', 'Q14676', 'P27708', 'O60231', 'Q8IUD2'],
      dtype='object')",0.488915939
SVM,"(Index(['P05154', 'P30260', 'Q15149', 'P31948', 'Q13423', 'P18206', 'O60701',
       'P78362', 'O15382', 'Q9NU22', 'P35232', 'A6NCS6', 'Q9C0H9', 'O75369',
       'P98160', 'P13591', 'Q5JWF2', 'Q14643', 'Q96SY0', 'Q86UK7'],
      dtype='object'),)","Index(['Q68DK7', 'O94826', 'O95785', 'O60701', 'P80723', 'P20962', 'O95425',
       'O43272', 'Q9NR33', 'P35232', 'Q9C0C2', 'Q4KMQ1', 'Q10471', 'P52758',
       'Q9Y315', 'Q15785', 'P27694', 'Q8N5M9', 'P35637', 'O95319'],
      dtype='object')",0.638070211
SVM,"(Index(['A6NIH7', 'Q9BTD8', 'Q8N0Z6', 'P20810', 'Q7Z7L1', 'P55060', 'P12270',
       'P98196', 'Q92817', 'Q9NW82', 'Q13356', 'Q9HCS7', 'Q9NS91', 'Q9GZS1',
       'Q4KMQ1', 'P62258', 'P31040', 'A4D1S0', 'O75175', 'Q8WZA9'],
      dtype='object'),)","Index(['Q96L91', 'P59768', 'O15357', 'P09327', 'P53814', 'Q12888', 'Q9NU22',
       'P06454', 'Q9Y2A7', 'P29966', 'O43272', 'O75717', 'Q9GZS1', 'Q4KMQ1',
       'Q92667', 'A6NCS6', 'Q9NSD9', 'Q9UHI6', 'O75369', 'Q8WZA9'],
      dtype='object')",0.478735064
SVM,"(Index(['Q9BTD8', 'Q9UNF1', 'O94826', 'Q15149', 'Q15042', 'P14555', 'Q53G44',
       'Q86VP6', 'P05164', 'Q5JVF3', 'O60524', 'Q9GZS1', 'Q10471', 'Q7Z4V5',
       'O00273', 'Q9Y4K1', 'Q9HC84', 'Q9C0H9', 'Q99459', 'O43795'],
      dtype='object'),)","Index(['O94826', 'Q8N4T8', 'P35221', 'Q15149', 'Q8IYS1', 'P20810', 'P53618',
       'Q99575', 'Q53G44', 'Q9H0R6', 'P31327', 'Q14554', 'Q8WUB8', 'P49458',
       'P33176', 'Q10471', 'Q7Z4V5', 'O00273', 'O43795', 'Q96PK6'],
      dtype='object')",0.417760526
SVM,"(Index(['Q9BTD8', 'O60716', 'Q7Z5L9', 'Q8NCN4', 'O95785', 'Q7Z3D6', 'P53814',
       'O60701', 'Q6PK04', 'P80723', 'P35240', 'Q92817', 'Q01995', 'P31483',
       'O00273', 'P10636', 'Q0VDF9', 'Q9C0H9', 'Q9BQ69', 'O75369'],
      dtype='object'),)","Index(['Q8WUQ7', 'Q15149', 'Q15063', 'Q15042', 'Q7Z5L9', 'Q8NCN4', 'Q14980',
       'O95785', 'P98196', 'Q01995', 'Q52LJ0', 'O60524', 'Q14978', 'O00273',
       'Q92667', 'P05091', 'P19623', 'Q0VDF9', 'P33316', 'Q8NB49'],
      dtype='object')",0.575079596
SVM,"(Index(['P36578', 'Q9BR61', 'Q9NVA2', 'Q9P1Y5', 'Q9UNS1', 'O95782', 'Q08357',
       'P31327', 'P05164', 'Q1KMD3', 'Q9P260', 'Q8WUY3', 'P33176', 'A6NCS6',
       'Q9Y315', 'P22102', 'Q9H4A6', 'Q9Y2S6', 'P39059', 'P42285'],
      dtype='object'),)","Index(['Q15149', 'Q8IYS1', 'O14981', 'Q9UNS1', 'Q7Z7L1', 'O95782', 'O43823',
       'O15020', 'Q14978', 'Q7Z4V5', 'P26006', 'Q8TE68', 'P22102', 'Q9H4A6',
       'P39059', 'Q96KM6', 'Q8NB49', 'O14744', 'Q01664', 'Q9NQG6'],
      dtype='object')",0.574593343
SVM,"(Index(['Q6SPF0', 'Q8TCS8', 'Q9H3U1', 'Q6XQN6', 'P09327', 'Q7Z3D6', 'Q96ST3',
       'P05164', 'Q9Y2A7', 'Q8WUY3', 'O15020', 'O75717', 'Q9GZU2', 'Q7Z4V5',
       'P62258', 'Q92925', 'A4D1S0', 'Q0VDF9', 'Q9HC84', 'Q9C0H9'],
      dtype='object'),)","Index(['Q8WWH5', 'O60716', 'Q8TDX7', 'Q01813', 'P53814', 'Q96FQ6', 'Q9H0R6',
       'Q6PK04', 'P98196', 'Q12929', 'P46821', 'Q9NW82', 'Q52LJ0', 'Q8WUY3',
       'Q86Y79', 'Q9GZU2', 'Q86UP2', 'P10586', 'Q9H0N5', 'P13591'],
      dtype='object')",0.466209827
SVM,"(Index(['Q96L91', 'Q6P2E9', 'P35221', 'Q96NB2', 'P31350', 'Q9NVA2', 'O43837',
       'P55060', 'Q8TDX7', 'Q8NCN4', 'P05164', 'Q9NW82', 'Q4KMQ1', 'Q92667',
       'Q9UBI1', 'P19623', 'P09758', 'Q15785', 'Q8N556', 'Q14134'],
      dtype='object'),)","Index(['Q96L91', 'P31350', 'P08559', 'Q8NCN4', 'P43304', 'P35251', 'Q9NW13',
       'Q4KMQ1', 'Q9UID3', 'Q5JTZ9', 'Q92667', 'Q9UBI1', 'Q9UKD2', 'Q99459',
       'P27694', 'Q5JSZ5', 'P13591', 'Q9UQ80', 'Q8N556', 'Q69YQ0'],
      dtype='object')",0.595734968
SVM,"(Index(['O15042', 'P35221', 'Q9BUP0', 'Q14008', 'Q13423', 'Q15042', 'Q96D96',
       'Q01831', 'Q9UNS1', 'Q5SQI0', 'Q99575', 'Q8TDL5', 'O15382', 'Q9NW82',
       'Q08379', 'P78318', 'A6NCS6', 'Q9HC84', 'O00339', 'Q14643'],
      dtype='object'),)","Index(['O94826', 'Q9BUP0', 'P58107', 'Q9BR61', 'Q8IYS1', 'Q13423', 'Q9P1Y5',
       'P08559', 'Q12955', 'Q15293', 'P67809', 'P12270', 'P31327', 'P55263',
       'Q8WUB8', 'Q9UQ35', 'Q92499', 'P82970', 'O43432', 'P42285'],
      dtype='object')",0.454383848
SVM,"(Index(['Q9BQE4', 'Q9Y490', 'Q96T51', 'P31948', 'P14555', 'Q8NCN4', 'Q9UNF0',
       'P27482', 'Q9NU22', 'Q9Y2A7', 'Q9H9Z2', 'Q969H8', 'Q9Y4K1', 'P22102',
       'Q9C0H9', 'Q9Y2S6', 'Q15785', 'Q15075', 'O14744', 'Q06323'],
      dtype='object'),)","Index(['Q9GZT9', 'Q9BR61', 'P98172', 'O14981', 'P14555', 'P49006', 'P18206',
       'Q9H7E9', 'Q7Z7L1', 'Q8NCN4', 'Q9UNF0', 'Q9H9Z2', 'Q9BY42', 'Q9NVZ3',
       'Q9Y4K1', 'P22102', 'P46926', 'Q9Y2S6', 'Q15785', 'O14744'],
      dtype='object')",0.689270021
XGBoost,"(Index(['O94826', 'Q8NFD5', 'Q01831', 'Q99575', 'P53814', 'Q9H0R6', 'Q9NVZ3',
       'A4D1S0', 'Q8N1G4', 'Q9BW92', 'P20618', 'P27694', 'Q8N5M9', 'P10586',
       'Q96SB3', 'Q8N556', 'O43432', 'P22234', 'Q32P44', 'Q14195'],
      dtype='object'),)","Index(['P52701', 'P05154', 'O14497', 'P98172', 'Q9NX63', 'Q6XQN6', 'Q01831',
       'P09327', 'Q99575', 'P53814', 'O43395', 'Q96FQ6', 'P27482', 'Q08211',
       'Q7Z460', 'P20962', 'O75717', 'Q8N5M9', 'P10586', 'O43432'],
      dtype='object')",0.508975895
SVM,"(Index(['P36578', 'O94826', 'Q96L58', 'P35221', 'Q9NVC6', 'P15923', 'Q96FQ6',
       'P30038', 'Q6PK04', 'P05164', 'Q08211', 'P20962', 'Q14978', 'Q9UID3',
       'P46926', 'Q8N5M9', 'Q14195', 'A7MBM2', 'Q96CW5', 'Q9NRV9'],
      dtype='object'),)","Index(['Q8WUQ7', 'A1X283', 'O94826', 'P35221', 'Q7Z5L9', 'P08559', 'Q9NVC6',
       'P09327', 'P53814', 'P80723', 'P49257', 'O00273', 'Q15785', 'P98160',
       'Q5JSZ5', 'O95613', 'P61764', 'P04114', 'Q9NRV9', 'Q14168'],
      dtype='object')",0.586394564
