"endTime","artistName","trackName","minutesPlayed"
2021-07-31 17:20:00,"Coldplay","CLOCKS",5.13
2021-07-31 17:25:00,"Coldplay","YELLOW",4.45
2021-07-31 17:30:00,"Coldplay","THE SCIENTIST",5.16
2021-07-31 17:34:00,"Coldplay","EVERYDAY LIFE",4.31
2021-07-31 17:38:00,"Coldplay","EVERY TEARDROP IS A WATERFALL",4.01
2021-07-31 17:43:00,"Coldplay","MAGIC",4.75
2021-07-31 17:47:00,"The Chainsmokers","SOMETHING JUST LIKE THIS",4.13
2021-07-31 17:51:00,"Coldplay","FLAGS",3.61
2021-07-31 17:54:00,"Coldplay","IN MY PLACE",3.78
2021-07-31 17:59:00,"Coldplay","SPEED OF SOUND",0.02
2021-07-31 17:59:00,"Coldplay","HYMN FOR THE WEEKEND",0.02
2021-07-31 17:59:00,"Coldplay","CHARLIE BROWN",0.02
2021-07-31 17:59:00,"Coldplay","TROUBLE",3.72
2021-07-31 19:19:00,"Coldplay","UP&UP",0.79
2021-08-01 02:45:00,"Logic","INTROLL",0.99
2021-08-01 02:47:00,"Logic","VACCINE",2.03
2021-08-01 02:50:00,"Logic","GET UP",3.56
2021-08-01 02:53:00,"Logic","MY WAY",2.61
2021-08-01 02:56:00,"Logic","CALL ME",3.5
2021-08-01 02:59:00,"Logic","INSIDE (FEAT. CYNTHIA ERIVO)",2.34
2021-08-01 03:02:00,"Logic","STUPID SKIT",0.08
2021-08-01 03:02:00,"Logic","THEME FOR THE PEOPLE",0.01
2021-08-01 03:02:00,"Logic","GOD MIGHT JUDGE",0
2021-08-01 03:02:00,"Logic","FLAWLESS",2.27
2021-08-01 03:02:00,"Logic","SEE YOU SPACE COWBOY...",0.04
2021-08-01 03:07:00,"J. Cole","NO ROLE MODELZ",4.88
2021-08-01 03:09:00,"alienatedtreacle","CHOPPA'S ISLAND",2.56
2021-08-01 03:13:00,"Cousin Stizz","PERFECT (FEAT. CITY GIRLS)",3.32
2021-08-01 03:16:00,"Ty Dolla $ign","BLASÉ (FEAT. FUTURE & RAE SREMMURD) - LOUIS THE CHILD REMIX",3.81
2021-08-01 03:21:00,"VIC MENSA","U MAD",5
2021-08-01 03:24:00,"SAINt JHN","WHITE PARENTS ARE GONNA HATE THIS",2.51
2021-08-01 03:27:00,"Jack Harlow","WAY OUT (FEAT. BIG SEAN)",2.82
2021-08-01 03:29:00,"Joey Purp","HALLELUJAH",2.25
2021-08-01 03:32:00,"Wiz Khalifa","THE THRILL",2.25
2021-08-01 03:34:00,"Lil Mosey","NOTICED",2.75
2021-08-01 03:37:00,"Bobby Shmurda","HOT N*GGA",2.24
2021-08-01 03:37:00,"Smokepurpp","GLOCK IN MY BENZ",0.2
2021-08-01 03:41:00,"Flosstradamus","CAME UP (FEAT. POST MALONE & KEY!)",3.58
2021-08-01 03:42:00,"Jack Harlow","TYLER HERRO",0.38
2021-08-01 03:42:00,"Gucci Mane","MEMBERS ONLY",1.31
2021-08-01 03:47:00,"Eminem","KILLER (FEAT. JACK HARLOW & CORDAE) - REMIX",3.94
2021-08-01 03:49:00,"G-Eazy","NO LIMIT REMIX (FEAT. A$AP ROCKY, FRENCH MONTANA, JUICY J & BELLY)",1.88
2021-08-01 03:50:00,"Logic","EVERYBODY",1.56
2021-08-01 03:54:00,"Eminem","GODZILLA (FEAT. JUICE WRLD)",3.51
2021-08-01 03:57:00,"Big Sean","BOUNCE BACK",3.09
